Store,Sales Rep,VMI Rep,City,State,Tags,PICC YTD Spend
Uncle Ando's Centralia - VMI - 1WT,,,,,,8359.6
Marley 420 - VMI - 1WT,,,,,,6370.08
[NVNA] Nirvana Tri Cities - VMI - 1WT,,,,,,5220.45
Herb's House - 1WT,,,,,,3636.8
[LLF] Lucky Leaf 2 Pasco (W Clark) - VMI - 1WT,,,,,,3475.98
Theorem Cannabis,,,,,,2490.75
[STVA] Sativa Sisters - Clarkston - PICC VMI,,,,,,2451.75
Remedy Tulalip - VMI,,,,,,2405.4
[PRC] PRC Edmonds - VMI - 1WT,,,,,,2378.78
Kush Klub Tukwila,,,,,,2367.33
Cedar Greens Cannabis - VMI - 1WT,,,,,,2347.0
High End Marketplace - NBA,,,,,,2294.0
420 Holiday - 1WT,,,,,,2282.4
The Marijuana Mercantile - VMI,,,,,,2279.65
Herban Market - VMI,,,,,,2178.75
[LINK] The Link Cannabis Co Port Angeles - VMI - 1WT,,,,,,2009.7
[ELVT] Elevation (Shelton) - 1WT,,,,,,1958.3
Primo Cannabis,,,,,,1889.8
[SLBN] The Slow Burn 40th,,,,,,1820.4
[H420] Hangar 420 Snohomish,,,,,,1819.4
One Hit Wonder - Port Townsend,,,,,,1656.9
Kush Klub,,,,,,1609.3
Salish Coast Cannabis - VMI - 1WT,,,,,,1556.45
[ZIPS] Zips Cannabis 176th - VMI - 1WT,,,,,,1543.8
Emerald Leaves,,,,,,1512.3
[REEF] The Reef Bremerton - VMI,,,,,,1508.1
[CZCN] Cannazone HWY 99 - VMI,,,,,,1432.02
[ORGN] Origins Cannabis Redmond  - 1WT,,,,,,1431.55
Greenfoot Cannabis,,,,,,1420.6
[CZCN] Cannazone Burlington - VMI,,,,,,1410.3
Herbal Nation,,,,,,1390.5
[CZCN] Cannazone Seattle,,,,,,1344.8
[FRHS] The Fire House - VMI,,,,,,1337.7
M & Leaf,,,,,,1333.9
Budeez - 1WT,,,,,,1258.0
[KLF] Kaleafa Aberdeen - 1WT,,,,,,1218.95
[CZCN] Cannazone Bellingham - VMI,,,,,,1189.05
[YWC] Yakima Weed Co North - VMI - 1WT,,,,,,1139.8
[PRC] PRC Bothell - VMI - 1WT,,,,,,1125.1
[HTG] Hashtag Everett - 1WT,,,,,,1069.87
[WEST] Western Bud Anacortes - NBA,,,,,,1050.6
[EUPM] Euphorium Lynnwood - VMI - 1WT,,,,,,1043.42
[PRC] PRC Arlington 172nd - VMI,,,,,,1035.35
[PRC] PRC Conway - VMI,,,,,,1013.25
Northwest Cannabis Connection - VMI,,,,,,1009.1
[THCS] The Happy Crop Shoppe East - VMI - 1WT,,,,,,982.0
Local Amster Seattle,,,,,,975.0
[DoA] Dank of America - 1WT,,,,,,970.5
[PZN] Pot Zone of Vancouver - 1WT,,,,,,968.7
[ZIPS] Zips Downtown - VMI - 1WT,,,,,,962.55
[THCS] The Happy Crop Shoppe Cash - VMI - 1WT,,,,,,962.2
Fatties Cannabis Shop,,,,,,956.0
[ZIPS] Zips Hwy 512 Tacoma - VMI - 1WT,,,,,,930.85
[JNT] The Joint U District - VMI - 1WT,,,,,,924.75
[GNGT] The Green Nugget Mead - 1WT,,,,,,899.7
[CB] Commencement Bay - Fife - VMI - 1WT,,,,,,866.4
[ZIPS] Zips 6th Ave - VMI - 1WT,,,,,,817.35
[YWC] Yakima Weed Co South - VMI - 1WT,,,,,,793.55
Sweet Jane - Edmonds - 1WT,,,,,,786.4
Mr. Doobees,,,,,,766.85
Cannabis Provisions Inc Shoreline,,,,,,735.6
[FLYD] Dank's Tacoma - VMI,,,,,,717.45
The Green Room - VMI - 1WT,,,,,,686.1
[BSH] Sasha's Cannabis,,,,,,677.25
Cascade Kropz - 1WT,,,,,,675.0
[CB] Commencement Bay - Black - VMI - 1WT,,,,,,655.8
Diamond Green - 1WT,,,,,,648.9
[THCS] The Happy Crop Shoppe W Wen - VMI - 1WT,,,,,,615.35
[HPTM] Happy Time Yakima - VMI - 1WT,,,,,,603.15
Birch Bay Budz - VMI,,,,,,600.0
[KSHY] The Kushery Lake Forest Park - VMI - 1WT,,,,,,595.4
[FRHS] The Station - VMI,,,,,,585.15
Secret Herb Shop - VMI,,,,,,583.92
[GLY] The Gallery Spanaway - VMI,,,,,,578.45
[REEF] The Reef Capitol Hill - VMI,,,,,,572.55
Natural Blessing,,,,,,569.7
[HTG] Hashtag Fremont - 1WT,,,,,,564.0
[G2G] Green2Go Kennewick - VMI - 1WT,,,,,,563.7
[G2G] Green2Go Pasco - VMI - 1WT,,,,,,563.7
[LIDZ] Lidz North - VMI - 1WT,,,,,,559.05
[Lidz] Lidz 38th - VMI - 1WT,,,,,,546.3
[BAKE] The Bake Shop George - VMI - 1WT,,,,,,540.15
The Top Shelf - VMI,,,,,,499.5
Stash Box - VMI - 1WT,,,,,,473.55
[BBD] Better Buds Longview - VMI - 1WT,,,,,,468.9
[LIDZ] Lidz South Hill - VMI - 1WT,,,,,,457.35
[CB] Commencement Bay - Red - VMI - 1WT,,,,,,435.6
[GNGT] The Green Nugget Spokane - VMI - 1WT,,,,,,404.4
[CB] Commencement Bay - Green - VMI - 1WT,,,,,,398.55
[REEF] The Reef Georgetown - VMI,,,,,,396.15
[FLYD] Dank's Edmonds - VMI,,,,,,383.9
[FLYD] High Society Anacortes,,,,,,382.2
[JNT] The Joint Tacoma - VMI - 1WT,,,,,,369.9
365 Recreational Shoreline - VMI - 1WT,,,,,,355.65
[KSHY] The Kushery Clearview - VMI - 1WT,,,,,,284.85
[KSH] Kushman's - Everett Evergreen - VMI,,,,,,273.3
[KSH] Kushman's - Lynnwood - VMI,,,,,,235.8
Sticky's - VMI,,,,,,203.1
[KSHY] The Kushery Stanwood - VMI,,,,,,189.15
[ZIA] Access Canibus - VMI - 1WT,,,,,,180.0
[KSHY] The Kushery Cathcart - VMI,,,,,,175.95
[GLY] The Gallery Parkland - VMI,,,,,,174.0
[RTS] Buddy's Renton - VMI,,,,,,150.0
[GLY] The Gallery Gig Harbor - VMI,,,,,,135.0
[BAKE] The Bake Shop Prosser - VMI - 1WT,,,,,,134.55
[JNT] The Joint Burien - VMI - 1WT,,,,,,120.0
[CC] Clear Choice Cannabis 72nd - VMI - 1WT,,,,,,106.56
[KSHY] The Kushery Evergreen - VMI,,,,,,96.35
